hr,lat,lon,mag,fingure_print
2901,11.06,-34.81,5.81,1040.2046
2902,2.52,-50.67,4.97,744.0089
2903,26.71,7.59,5.65,1738.4147
2904,10.88,-35.46,6.55,997.6695
2905,21.06,-12.6,4.06,1361.9749
2906,-1.19,-57.5,4.45,971.2682
2907,-9.78,-73.13,6.26,833.9935
2908,-11.16,-75.87,6.52,1451.2991
2909,-1.71,-58.56,5.83,737.04645
2910,-1.71,-58.56,5.87,737.0464
2911,-7.95,-69.85,5.54,701.86475
2912,-2.95,-60.89,6.65,770.00146
2913,-6.53,-67.33,6.11,1299.6082
2914,27.45,10.39,5.92,1198.5103
2915,25.39,0.9,6.38,1661.1646
2916,-3.37,-61.69,5.77,763.1742
2917,-9.59,-73.06,6.76,914.1727
2918,12.7,-32.81,5.91,1311.7645
2919,-25.01,-111.02,5.53,1554.9635
2920,6.04,-45.5,6.27,1282.6718
2921,3.02,-50.91,5.7,746.3262
