HR,Name,GLON,GLON_shifted,GLAT,Vmag
412,46    Cet,157.07,22.93,-75.16,4.9
413,93Rho Psc,134.19,45.81,-42.94,5.38
414,94    Psc,134.31,45.69,-42.85,5.5
415,,131.25,48.75,-27.92,6.27
416,,141.83,38.17,-61.98,6.41
417,48Ome And,129.56,50.44,-17,4.83
418,,130.2,49.8,-21.26,6.46
419,,139.88,40.12,-58.16,6.58
420,,296.98,-116.98,-52.37,5.93
421,47    Cet,155.16,24.84,-73.67,5.66
422,,130.39,49.61,-22.01,6.6
423,,250.18,-70.18,-80.59,5.79
424,1Alp UMi,123.28,56.72,26.46,2.02
425,,152.44,27.56,-71.66,6.13
426,,138.54,41.46,-53.79,6.2
427,38    Cas,126.3,53.7,7.65,5.81
428,,126.92,53.08,3.53,6.14
429,Gam Phe,280.52,-100.52,-72.17,3.41
430,49    And,129.75,50.25,-15.35,5.27
431,,254.77,-74.77,-79.59,6.58
432,97    Psc,135.56,44.44,-43.57,6.02
433,48    Cet,182.65,-2.65,-79.72,5.12
434,98Mu  Psc,140.07,39.93,-55.43,4.84
435,,284.52,-104.52,-68.99,6.31
436,,209.1,-29.1,-81.25,5.93
437,99Eta Psc,137.01,42.99,-46.43,3.62
438,,132.33,47.67,-27.33,6.39
439,,128.44,51.56,-4.09,5.7
440,Del Phe,286.27,-106.27,-66.75,3.95
441,,234.96,-54.96,-80.63,5.82
442,39Chi Cas,128.35,51.65,-3.19,4.71
443,,282.11,-102.11,-69.89,6.17
444,,153.38,26.62,-69.39,6.59
445,,263.48,-83.48,-76.89,5.51
446,,132.32,47.68,-24.85,5.88
447,,286.4,-106.4,-66.06,6.28
448,,151.37,28.63,-67.53,5.76
449,,126.09,53.91,11.71,6.58
450,,137.11,42.89,-43.21,5.89
451,49    Cet,166.32,13.68,-74.78,5.63
452,,131.88,48.12,-21.02,6.38
453,,242.3,-62.3,-79.43,6.12
454,,130.54,49.46,-13.48,5.92
455,101    Psc,138.71,41.29,-46.85,6.22
456,40    Cas,126.4,53.6,10.49,5.28
457,,137.79,42.21,-44.15,5.8
458,50Ups And,132,48,-20.66,4.09
459,50    Cet,166.61,13.39,-74.36,5.42
460,,292.01,-112.01,-58.05,6.01
461,,129.11,50.89,-4.33,5.56
462,Tau Scl,231.37,-51.37,-79.8,5.69
463,102Pi  Psc,140.16,39.84,-49.2,5.57
464,51    And,130.81,49.19,-13.53,3.57
465,,131.53,48.47,-16.68,6.36
466,,156.7,23.3,-69.19,6.24
467,,300.26,-120.26,-38.41,6.11
468,,291.74,-111.74,-57.86,6.18
