HR,GLAT,GLON,Vmag
588,-69.6,264.25,5.57
589,2.59,130.57,5.58
590,-6.97,133.19,5.04
591,-53.76,289.45,2.86
592,13.9,127.44,5.22
593,-38.26,298.84,6.16
594,-74.42,227.66,5.35
595,-55.6,155.35,5.23
596,-55.6,155.35,4.33
597,18.89,125.99,6.05
598,3.32,130.54,6.52
599,-27.25,139.71,5.5
600,-49.64,292.34,6.1
601,-45.88,148.19,5.94
602,-67.48,268.87,5.14
603,-18.56,136.96,2.26
604,-18.56,136.97,4.84
605,-34.16,142.61,5.63
606,-74.19,226.33,6.42
607,-57.75,158.18,5.43
608,-69.6,181.14,5.86
609,-41.35,146.03,6.21
610,-58.07,158.88,5.93
611,-61.23,162.91,5.62
612,-73.78,224.89,4.69
613,-37.02,144.78,5.03
614,-50.26,152.67,6.31
615,-34.14,143.52,6.15
616,-57.4,159.58,6.28
617,-36.2,144.57,2
618,-2.94,132.92,5.67
619,-16.27,137.14,6.42
620,-22.55,139.31,4.82
621,-7.25,134.48,6.31
622,-25.2,140.55,3
623,-33.71,144.08,4.98
624,-41.79,148.23,6.43
625,-69.87,189.29,6.1
626,12.06,128.58,6.29
627,-3.57,133.51,6.36
628,-21.28,139.38,5.63
629,-21.28,139.38,6.1
630,-72.2,208.31,6.48
631,-39.58,147.4,5.7
632,-67.31,264.22,5.85
633,-33.57,144.53,6.02
634,-28.32,142.27,6.23
635,-49.39,154.2,5.63
636,-66.99,264.54,6.32
637,-61.97,275.99,6.12
638,-64.57,174.54,6.01
639,-58.23,163.52,5.93
640,4.98,131.08,6.07
641,-2.61,133.5,6.44
642,-29.4,142.98,4.94
643,-16.23,138.04,4.83
644,-35.09,145.69,5.96
645,-9.73,135.85,5.31
646,-37.81,147.14,5.27
647,-13.1,137.1,6.06
648,-43.2,150.4,5.71
649,-48.95,154.55,4.37
650,-58.52,164.6,5.54
651,-70.43,199.11,5.86
652,-71.84,229.19,5.28
653,-12.69,137.3,6.33
654,-3.91,134.38,6.48
655,-26.27,142.55,5.28
656,-33.33,145.74,5.79
657,-34.01,146.07,5.58
658,-63.45,175.21,6.55
659,-67.91,257.7,5.91
660,-25.39,142.43,4.87
661,-3.06,134.25,5.75
662,-3.42,134.39,5.98
663,-15.9,138.78,6.7
664,-25.71,142.65,4.01
665,-35.06,147.05,6.55
666,-60.99,171.27,5.51
667,-47.42,291.57,5.55
668,3.1,132.36,6.6
669,-38.5,149.27,5.62
670,-12.91,137.99,5.3
671,-13.77,138.29,6.21
672,-54.38,162.2,5.58
673,-11.42,137.46,6.37
674,-60.82,275.35,3.56
675,-30.41,145.22,5.03
676,-35.44,147.8,6.46
677,-19.96,140.79,6.63
678,-47.45,291.35,5.69
679,-12.89,138.24,6.11
680,-28.89,144.79,6.47
681,-57.98,167.75,3.04
682,-10.21,137.29,5.59
683,-70.41,214.47,6.34
684,-58.98,169.55,6.5
685,-4.79,135.51,5.17
686,-66.77,257.92,6.37
687,-18.28,140.8,5.82
688,-57.09,280.1,5.81
689,-54.92,164.95,5.28
690,-5.17,135.87,6.28
691,-55.9,166.4,5.42
692,-63.15,179.78,5.46
693,-67.06,193.3,5.87
694,-10.15,137.86,5.19
695,-69.21,208.85,5.2
696,-3.93,135.62,6.25
697,-67.2,195.13,6.22
698,-65.6,260.03,6.31
699,-9.83,137.95,4.71
700,-68.09,247.15,6.53
701,-60.44,273.28,5.92
702,-45.99,157.03,5.47
703,-69.2,214.69,6.44
704,-56.93,169.53,6.33
705,-46.37,291.25,4.09
706,-66.45,254.5,6.18
707,6.29,132.12,4.52
708,-63.35,183.75,4.89
709,-9.42,138.18,6.12
710,-65.08,189.53,5.83
711,-31.18,147.91,6.18
712,-26.79,145.72,5.54
713,-67.12,200.01,5.88
714,-53.2,283.79,5.35
715,-41.95,294.47,5.01
716,-4.72,136.55,6.51
717,-28.67,146.86,5.29
718,-47.39,159.69,4.28
719,-52.76,165.42,6.45
720,-28.37,146.89,5.89
721,-62.24,267.12,4.25
722,-48.04,289.17,6.41
723,-34.16,150.24,6.19
724,-68.2,236.68,5.14
725,-46.27,159.26,6.07
726,-24.69,145.4,6.25
727,-68.46,229.36,6.11
728,-32.45,149.62,5.92
729,-37.23,152.63,6.15
730,-67.27,207.1,6.77
731,-39.09,154.01,6.23
732,-53.68,168.08,6
733,-67.78,213.52,6.51
734,-49.73,287,6.37
735,-67.09,206.86,6.1
736,-22.43,144.74,5.15
737,-51.98,166.25,5.25
738,-23.82,145.62,5.83
739,-54.44,169.94,5.35
740,-63.78,191.12,4.75
741,-41.18,156.28,6.04
742,-66.74,242.77,6.3
743,11.58,130.71,5.16
744,-67,238.27,5.9
745,-65.57,201.48,6.21
746,-18.95,143.84,6.36
747,5.09,133.55,5.78
748,-21.07,144.92,5.71
749,-67.34,221.7,4.9
750,-23.44,146.14,5.35
751,-47.26,162.6,6.18
752,-58.87,179.49,5.75
753,-47.62,163.39,5.82
754,-48.67,164.48,4.86
755,-59.19,270.92,6.24
756,-19.67,144.53,5.9
757,-26.13,147.8,6.1
758,-23.71,146.59,5.3
759,-58.61,179.86,5.53
760,-18.59,144.09,6.54
761,-24.94,147.26,6.25
762,-50.76,284.65,6.77
763,-42.91,159.13,5.68
764,-32.31,151.47,7.09
765,-32.31,151.49,6.5
766,-46.83,162.83,5.81
767,-66.88,226.39,5.75
768,-20.47,145.24,6.18
769,-20.13,145.1,6.3
770,-46.66,163.28,6.39
771,-55.25,174.49,5.65
772,-66.24,237.68,5.79
773,-34.47,153.46,5.43
774,19.59,127.33,5.78
775,-49.96,167.32,6.21
776,-36.88,297.19,5.28
777,-66.41,226.75,5.83
778,-57.82,272.31,5.31
779,-52.21,170.76,4.07
780,-65.1,245.54,6.49
781,-60.41,187.19,4.84
782,-29.79,151.02,5.3
783,-47.6,165.32,6.25
784,-58.84,183.54,5.78
785,-4.35,138.51,5.77
786,-66.03,227.82,6.52
787,-5.79,139.16,5.84
788,-17.91,144.84,4.91
789,-62.98,255.67,4.75
790,-52.68,172.42,5.71
791,7.27,133.34,5.95
792,-10.56,141.4,6.48
793,-35.74,155.53,5.69
794,-64.07,249.3,4.11
795,-54.4,175.53,6.05
796,-61.45,192.38,5.98
797,-43.53,162.07,6.3
798,-49.01,285.44,6.55
799,-9.61,141.16,4.12
800,-14.07,143.31,5.43
801,-28.93,151.29,4.66
802,-56.11,274.43,5.21
803,-30.69,152.53,6.35
804,-49.38,168.92,3.47
805,-64.29,245.9,6.01
806,-45.82,288.96,4.11
807,-60.83,261.96,6.1
808,-37.42,157.47,6.46
809,-39.46,159.22,5.77
810,-58.33,268.82,5.41
811,-60.57,191.81,4.25
812,-41.79,161.43,5.18
813,-43.7,163.25,4.27
814,-63.35,250.3,6.36
815,9.07,132.89,6.18
816,-47.92,168.09,6.03
817,-65,232.25,6.22
818,-62.53,200.83,4.47
819,-21.26,147.73,6.25
820,-21.64,147.96,6.3
821,-57.02,271.1,6.15
822,-60.49,260.97,6.85
823,-46.84,287.19,6.26
824,-27.1,151.42,4.51
825,-2.18,138.47,6.25
826,-63.24,207.44,6.49
827,-63.39,209.3,6.47
828,-36.45,158.18,5.82
829,8.52,133.47,5.8
830,-30.53,153.91,5.86
831,-19.84,147.54,6.45
832,-59.04,190.42,6.9
833,-49.05,284.11,5.74
834,-3.18,139.14,3.76
835,-63.93,238.99,6.51
836,-37.04,158.93,5.22
837,-46,287.76,4.84
838,-28.61,152.98,3.63
839,-0.94,138.2,6.45
840,-18.86,147.25,4.23
841,-64.02,231.79,4.46
842,-11.2,143.38,5.88
843,-21.64,149.07,4.53
844,-63.29,214.12,6.14
845,-63.79,221.64,5.39
846,-5.63,140.73,6.36
847,-38.72,161.17,5.49
848,-63.34,239.41,5.92
849,-9.54,142.83,6.26
850,-62.09,206.8,4.75
851,-63.28,239.01,5.47
852,-49.46,282.75,5.26
853,-62.21,248.01,6.36
