HR,Color,GLON,GLAT
7758,ffffffff,342.99,-34.54
6338,ffffffff,342.98,-1.9
7548,ffffffff,342.94,-30.54
7549,ffffffff,342.93,-30.55
7329,ffffffff,342.9,-26.21
8211,ffffffff,342.89,-44.57
6100,ffffffff,342.87,8.27
6209,ffffffff,342.77,3.12
6206,ffffffff,342.75,3.13
5923,ffffffff,342.7,16.47
5652,ffffffff,342.69,32
8055,ffffffff,342.58,-40.96
6257,ffffffff,342.46,0.48
6954,ffffffff,342.43,-18.91
105,ffffffff,342.36,-82.23
7393,ffffffff,342.35,-27.42
5010,ffffffff,342.33,80.67
8658,ffffffff,342.31,-57.46
6416,ffffffff,342.29,-5.26
5366,ffffffff,342.25,53.74
8722,ffffffff,342.17,-59.49
5809,ffffffff,342.06,21.72
6451,ffffffff,342.01,-6.33
7388,ffffffff,341.97,-27.37
5518,ffffffff,341.92,41.05
5794,ffffffff,341.89,21.94
6569,ffffffff,341.89,-9.77
6331,ffffffff,341.79,-2.64
5678,ffffffff,341.76,29.34
8188,ffffffff,341.75,-43.94
8700,ffffffff,341.7,-58.71
6094,ffffffff,341.62,7.21
5317,ffffffff,341.52,55.74
5775,ffffffff,341.5,22.35
5406,ffffffff,341.39,49.45
6303,ffffffff,341.35,-1.98
5523,ffffffff,341.3,39.78
5925,ffffffff,341.3,14.75
5926,ffffffff,341.3,14.75
7510,ffffffff,341.27,-30.01
5283,ffffffff,341.25,59.61
8659,ffffffff,341.14,-57.14
5410,ffffffff,341.13,48.62
8920,ffffffff,341.1,-66.03
6547,ffffffff,341.08,-9.69
5812,ffffffff,341.06,20.45
6576,ffffffff,341.06,-10.56
7233,ffffffff,341.05,-24.51
9046,ffffffff,341.05,-72.35
6080,ffffffff,340.98,7.53
5991,ffffffff,340.97,11.27
7790,ffffffff,340.91,-35.19
5987,ffffffff,340.83,11.32
6510,ffffffff,340.76,-8.83
6142,ffffffff,340.72,4.35
4949,ffffffff,340.64,84.36
5883,ffffffff,340.57,15.82
6164,ffffffff,340.54,3.01
6174,ffffffff,340.39,2.37
5822,ffffffff,340.38,19.12
5531,ffffffff,340.33,38.01
6323,ffffffff,340.33,-3.45
5342,ffffffff,340.32,53.39
5530,ffffffff,340.31,38.07
6585,ffffffff,340.06,-11.5
7691,ffffffff,340.04,-33.2
5655,ffffffff,340.01,28.47
5138,ffffffff,339.9,70.08
5620,ffffffff,339.86,30.99
5929,ffffffff,339.85,13.03
5975,ffffffff,339.81,10.81
8929,ffffffff,339.76,-66.14
6374,ffffffff,339.74,-5.54
6478,ffffffff,339.71,-8.61
6468,ffffffff,339.6,-8.45
7586,ffffffff,339.54,-31.31
6000,ffffffff,339.53,9.38
5999,ffffffff,339.52,9.38
6423,ffffffff,339.5,-7.27
5503,ffffffff,339.48,39.15
5007,ffffffff,339.43,80.12
6632,ffffffff,339.43,-13.06
8271,ffffffff,339.43,-45.56
6155,ffffffff,339.38,2.51
5455,ffffffff,339.35,42.97
7434,ffffffff,339.28,-28.86
5264,ffffffff,339.22,59.38
5657,ffffffff,339.19,27.38
5860,ffffffff,339.17,15.58
5935,ffffffff,339.14,11.89
5967,ffffffff,339.12,10.43
8368,ffffffff,339.11,-48.12
8501,ffffffff,339.03,-51.39
6622,ffffffff,338.94,-13.2
6197,ffffffff,338.93,-0.02
7022,ffffffff,338.92,-21.66
6300,ffffffff,338.81,-3.93
5948,ffffffff,338.77,11.01
5658,ffffffff,338.69,26.61
6160,ffffffff,338.62,1.56
6475,ffffffff,338.56,-9.29
5205,ffffffff,338.54,64.21
6015,ffffffff,338.51,7.55
6071,ffffffff,338.5,5.4
5839,ffffffff,338.48,16.08
5790,ffffffff,338.43,18.19
7587,ffffffff,338.4,-31.36
6819,ffffffff,338.39,-17.69
6483,ffffffff,338.35,-9.61
8675,ffffffff,338.31,-56.53
5568,ffffffff,338.24,32.7
5820,ffffffff,338.19,16.69
7986,ffffffff,338.16,-38.85
6530,ffffffff,338.04,-11.11
6085,ffffffff,338.03,4.11
7531,ffffffff,338.02,-30.55
5156,ffffffff,337.96,67.74
5641,ffffffff,337.87,26.96
5183,ffffffff,337.86,65.38
7625,ffffffff,337.85,-31.96
6049,ffffffff,337.83,5.74
5753,ffffffff,337.81,18.91
5338,ffffffff,337.75,51.07
8611,ffffffff,337.71,-54.56
5072,ffffffff,337.69,74.11
8381,ffffffff,337.68,-48.07
6908,ffffffff,337.57,-19.87
8791,ffffffff,337.56,-59.92
5952,ffffffff,337.51,9.39
5341,ffffffff,337.36,50.49
6099,ffffffff,337.31,2.8
5614,ffffffff,337.27,27.98
6131,ffffffff,337.25,1.58
6549,ffffffff,337.24,-12.04
5945,ffffffff,337.23,9.34
5322,ffffffff,337.22,51.32
5603,ffffffff,337.22,28.62
5918,ffffffff,337.19,10.42
6614,ffffffff,337.19,-13.8
5353,ffffffff,337.18,49.49
5864,ffffffff,337.17,12.99
6289,ffffffff,337.02,-4.88
6312,ffffffff,336.97,-5.62
5686,ffffffff,336.96,22.88
6274,ffffffff,336.78,-4.64
5837,ffffffff,336.71,13.97
6187,ffffffff,336.71,-1.57
6236,ffffffff,336.71,-3.55
8749,ffffffff,336.68,-58.33
8959,ffffffff,336.66,-66.52
5114,ffffffff,336.59,70.14
6939,ffffffff,336.54,-20.7
5244,ffffffff,336.53,59.61
5688,ffffffff,336.46,21.91
5943,ffffffff,336.44,8.58
8387,ffffffff,336.28,-48.01
8828,ffffffff,336.26,-60.67
5393,ffffffff,336.23,45.09
6188,ffffffff,336.08,-2.2
7848,ffffffff,336.04,-36.09
6115,ffffffff,336,0.98
7875,ffffffff,335.98,-36.63
6487,ffffffff,335.94,-11.22
7127,ffffffff,335.92,-24.18
5513,ffffffff,335.89,34.03
8793,ffffffff,335.89,-59.25
7527,ffffffff,335.85,-30.57
5383,ffffffff,335.82,45.2
7558,ffffffff,335.74,-31.09
5504,ffffffff,335.73,34.29
5862,ffffffff,335.68,11.23
8655,ffffffff,335.6,-54.9
6275,ffffffff,335.55,-5.68
5660,ffffffff,335.5,22.15
5548,ffffffff,335.49,30.35
6314,ffffffff,335.41,-7.06
8993,ffffffff,335.38,-67.56
6461,ffffffff,335.37,-11.01
8362,ffffffff,335.36,-46.69
6295,ffffffff,335.15,-6.59
5591,ffffffff,335.1,26.53
5980,ffffffff,335.09,5.17
6760,ffffffff,335.07,-17.98
5807,ffffffff,335.01,13.11
6586,ffffffff,334.99,-14.37
5805,ffffffff,334.96,13.1
4992,ffffffff,334.87,80.22
7859,ffffffff,334.83,-36.18
6045,ffffffff,334.7,2.53
6462,ffffffff,334.64,-11.48
6505,ffffffff,334.62,-12.46
5577,ffffffff,334.61,27.28
5736,ffffffff,334.6,16.34
5521,ffffffff,334.59,31.28
7015,ffffffff,334.54,-22.8
5499,ffffffff,334.5,32.6
6442,ffffffff,334.34,-11.29
5619,ffffffff,334.3,23.6
5751,ffffffff,334.26,14.29
8966,ffffffff,334.2,-65.88
4987,ffffffff,334.19,80.31
5846,ffffffff,334.19,10.32
5773,ffffffff,334.18,13.44
8747,ffffffff,334.11,-57.16
5276,ffffffff,334.07,53.03
6297,ffffffff,334.05,-7.52
6083,ffffffff,334.01,0.13
5705,ffffffff,333.96,17.39
5258,ffffffff,333.84,55.17
5712,ffffffff,333.84,16.75
6207,ffffffff,333.74,-4.85
8369,ffffffff,333.72,-46.45
5767,ffffffff,333.69,12.9
7074,ffffffff,333.61,-23.87
8877,ffffffff,333.53,-61.1
5315,ffffffff,333.51,47.7
5232,ffffffff,333.47,57.57
8509,ffffffff,333.47,-49.71
5565,ffffffff,333.44,26.16
5359,ffffffff,333.4,44.25
4946,ffffffff,333.39,83.13
5722,ffffffff,333.39,15.45
5438,ffffffff,333.37,36.25
6384,ffffffff,333.35,-10.48
5514,ffffffff,333.34,30.32
5081,ffffffff,333.33,71.42
7959,ffffffff,333.32,-37.62
7960,ffffffff,333.32,-37.62
6072,ffffffff,333.3,0.01
6855,ffffffff,333.29,-20.4
5776,ffffffff,333.19,11.89
5516,ffffffff,333.15,29.87
5497,ffffffff,333.13,30.63
7732,ffffffff,333.13,-33.82
5724,ffffffff,333.09,14.96
7872,ffffffff,333.09,-36.2
7111,ffffffff,333.08,-24.54
5689,ffffffff,333.07,16.96
6438,ffffffff,333.05,-12.07
6058,ffffffff,333.04,0.39
6624,ffffffff,332.99,-16.33
7707,ffffffff,332.97,-33.29
5517,ffffffff,332.88,29.36
6916,ffffffff,332.82,-21.56
6285,ffffffff,332.8,-8.2
5159,ffffffff,332.78,63.38
5797,ffffffff,332.78,10.44
5872,ffffffff,332.77,6.86
5484,ffffffff,332.75,31.32
5697,ffffffff,332.75,15.81
5526,ffffffff,332.65,27.97
8531,ffffffff,332.61,-50.04
5595,ffffffff,332.6,22.54
5653,ffffffff,332.53,18.51
5719,ffffffff,332.42,14.23
5053,ffffffff,332.35,73.39
6525,ffffffff,332.31,-14.42
8409,ffffffff,332.26,-46.96
8910,ffffffff,332.22,-61.91
6761,ffffffff,332.21,-19.17
5298,ffffffff,332.2,48.08
5290,ffffffff,332.12,49.24
5962,ffffffff,331.97,2.52
