HR,GLON,GLAT,Vmag
886,147.5,-15.64,5.89
887,158.69,-32.51,4.63
888,158.69,-32.51,4.63
889,-146.98,-61.25,5.84
890,142.11,-5.63,5.28
891,142.11,-5.63,6.74
892,179.79,-51.03,5.23
893,-116.29,-61.42,6.41
894,149.09,-18.11,6.11
895,-170.99,-55.34,6.14
896,168.21,-42.41,4.7
897,-112.14,-60.74,3.24
898,-112.15,-60.73,4.35
899,179.67,-50.64,5.56
900,-135.9,-61.85,6.14
901,-143.43,-61.27,5.71
902,166.8,-40.74,5.95
903,-128.27,-61.79,6.31
904,-179.53,-50.7,6.11
905,156.02,-27.9,5.9
906,128.14,20.05,5.95
907,-173.38,-53.64,5.75
908,172.01,-44.75,6.25
909,-77.15,-47.79,4.99
910,173.08,-45.39,5.61
911,173.32,-45.59,2.53
912,-169.97,-54.8,5.83
913,-174.69,-52.74,6.19
914,-137.52,-61.23,5.89
915,142.07,-4.34,2.93
916,155.26,-26.19,6.36
917,-172.96,-53.34,5.32
918,140.59,-1.5,4.76
919,-146.46,-60.29,4.09
920,140.92,-2.04,6.11
921,149.6,-17.01,3.39
