hr,lat,lon,mag,fingure_print
577,-39.07,36.45,5.87,1351.7117
578,-47.26,32.18,6.09,2218.1602
579,11.68,52.05,6.23,1200.9253
580,10.31,51.62,3.98,1329.8809
581,15.0,52.94,5.38,1343.4014
582,-55.53,25.67,5.88,1090.6978
583,-73.19,-14.6,5.41,1625.1372
584,-50.3,-112.2,6.37,1378.212
585,-73.25,-15.47,4.0,1640.9943
586,3.07,49.58,6.0,842.5155
587,-65.25,12.6,5.51,2220.7998
588,-69.6,-84.25,5.57,1368.7706
589,2.59,49.43,5.58,651.94434
590,-6.97,46.81,5.04,1467.6439
591,-53.76,-109.45,2.86,1866.8184
592,13.9,52.56,5.22,1421.8207
593,-38.26,-118.84,6.16,1208.362
594,-74.42,-47.66,5.35,1314.5989
595,-55.6,24.65,5.23,1093.512
596,-55.6,24.65,4.33,1093.512
597,18.89,54.01,6.05,1523.4398
598,3.32,49.46,6.52,922.2349
599,-27.25,40.29,5.5,1735.7957
600,-49.64,-112.34,6.1,1270.1635
601,-45.88,31.81,5.94,2078.1182
602,-67.48,-88.87,5.14,1471.2042
603,-18.56,43.04,2.26,1181.8107
604,-18.56,43.03,4.84,1116.2974
605,-34.16,37.39,5.63,1156.5941
606,-74.19,-46.33,6.42,1323.5002
607,-57.75,21.82,5.43,1223.6859
608,-69.6,-1.14,5.86,2613.731
609,-41.35,33.97,6.21,1409.0786
610,-58.07,21.12,5.93,1252.5139
611,-61.23,17.09,5.62,2087.9702
612,-73.78,-44.89,4.69,1401.209
613,-37.02,35.22,5.03,1314.5156
614,-50.26,27.33,6.31,2058.6262
615,-34.14,36.48,6.15,926.4188
616,-57.4,20.42,6.28,1343.2273
617,-36.2,35.43,2.0,1269.7335
618,-2.94,47.08,5.67,761.2974
619,-16.27,42.86,6.42,1354.4233
620,-22.55,40.69,4.82,1281.8267
621,-7.25,45.52,6.31,1589.0768
622,-25.2,39.45,3.0,1486.0027
623,-33.71,35.92,4.98,839.52795
624,-41.79,31.77,6.43,1618.0045
625,-69.87,-9.29,6.1,2080.6243
626,12.06,51.42,6.29,1303.2678
627,-3.57,46.49,6.36,659.7411
628,-21.28,40.62,5.63,1315.1208
629,-21.28,40.62,6.1,1315.1208
630,-72.2,-28.31,6.48,1991.9136
631,-39.58,32.6,5.7,1533.5383
632,-67.31,-84.22,5.85,1298.2827
633,-33.57,35.47,6.02,846.01
634,-28.32,37.73,6.23,1408.9513
635,-49.39,25.8,5.63,1804.8989
636,-66.99,-84.54,6.32,1352.647
637,-61.97,-95.99,6.12,1403.3124
638,-64.57,5.46,6.01,1858.4921
639,-58.23,16.48,5.93,1362.3627
640,4.98,48.92,6.07,1442.4803
641,-2.61,46.5,6.44,885.32214
642,-29.4,37.02,4.94,1451.2046
643,-16.23,41.96,4.83,1246.065
644,-35.09,34.31,5.96,1042.7471
645,-9.73,44.15,5.31,1191.6729
646,-37.81,32.86,5.27,1427.1676
647,-13.1,42.9,6.06,722.802
648,-43.2,29.6,5.71,2089.26
649,-48.95,25.45,4.37,1732.9336
650,-58.52,15.4,5.54,1446.7416
651,-70.43,-19.11,5.86,2094.3245
652,-71.84,-49.19,5.28,1937.6124
653,-12.69,42.7,6.33,829.7197
